"year","nest_IDs","outcome"
"1996","1996_81",1
"1996","1996_79c",0
"1996","1996_79",1
"1996","1996_77.75",1
"1996","1996_77",0
"1996","1996_66",2
"1996","1996_lognest",2
"1996","1996_59",1
"1996","1996_57",0
"1996","1996_56",1
"1996","1996_50",2
"1996","1996_47",2
"1997","1997_81",1
"1997","1997_79c",1
"1997","1997_79b1",1
"1997","1997_79a1",1
"1997","1997_79",0
"1997","1997_78b",0
"1997","1997_78a",1
"1997","1997_76",1
"1997","1997_75",2
"1997","1997_74",0
"1997","1997_72",1
"1997","1997_71",1
"1997","1997_68",0
"1997","1997_67",1
"1997","1997_65",1
"1997","1997_lognest",2
"1997","1997_64",0
"1997","1997_61",0
"1997","1997_59",0
"1997","1997_58",1
"1997","1997_57",1
"1997","1997_54",0
"1997","1997_52",1
"1997","1997_51",0
"1997","1997_50",2
"1997","1997_48",2
"1998","1998_81",0
"1998","1998_79c",0
"1998","1998_79b1",2
"1998","1998_79a2",0
"1998","1998_79",0
"1998","1998_78b",0
"1998","1998_78a",0
"1998","1998_76",0
"1998","1998_74",0
"1998","1998_73",2
"1998","1998_72",2
"1998","1998_71",1
"1998","1998_69",0
"1998","1998_68",0
"1998","1998_65",2
"1998","1998_64",0
"1998","1998_62",0
"1998","1998_61",2
"1998","1998_60",1
"1998","1998_59",0
"1998","1998_58",0
"1998","1998_57",0
"1998","1998_56",0
"1998","1998_55",0
"1998","1998_52",2
"1998","1998_48",0
"1998","1998_47",0
"1998","1998_79a1",0
"1999","1999_82a",1
"1999","1999_81",1
"1999","1999_80",0
"1999","1999_79c",2
"1999","1999_79b2",0
"1999","1999_79b1",2
"1999","1999_79a2",1
"1999","1999_79a1",1
"1999","1999_78b",0
"1999","1999_77",1
"1999","1999_76",1
"1999","1999_74",1
"1999","1999_73",1
"1999","1999_72",0
"1999","1999_71",0
"1999","1999_69",1
"1999","1999_68",0
"1999","1999_65",1
"1999","1999_62",0
"1999","1999_60",2
"1999","1999_59",1
"1999","1999_58",1
"1999","1999_54",0
"1999","1999_52",2
"1999","1999_51",1
"1999","1999_50",1
"1999","1999_49",1
"1999","1999_48",1
"1999","1999_47",1
"2000","2000_82a",2
"2000","2000_81",0
"2000","2000_80a",0
"2000","2000_80",1
"2000","2000_79c",1
"2000","2000_79b2",0
"2000","2000_79b1",2
"2000","2000_79a2",1
"2000","2000_79a1",1
"2000","2000_79",1
"2000","2000_78b",0
"2000","2000_78a",1
"2000","2000_77",1
"2000","2000_76",2
"2000","2000_74",1
"2000","2000_73",2
"2000","2000_72",1
"2000","2000_71",2
"2000","2000_70",1
"2000","2000_69",1
"2000","2000_68",0
"2000","2000_65",1
"2000","2000_64",1
"2000","2000_62",0
"2000","2000_61",1
"2000","2000_60",0
"2000","2000_59",1
"2000","2000_58",0
"2000","2000_57",1
"2000","2000_56",2
"2000","2000_55",0
"2000","2000_51",0
"2000","2000_50",1
"2000","2000_49",1
"2000","2000_48",1
"2000","2000_47",2
"2001","2001_82b",0
"2001","2001_82a",2
"2001","2001_82",1
"2001","2001_81",1
"2001","2001_80a",1
"2001","2001_80",1
"2001","2001_79c",2
"2001","2001_79b2",0
"2001","2001_79b1",2
"2001","2001_79a2",1
"2001","2001_79a1",1
"2001","2001_79",1
"2001","2001_78a",0
"2001","2001_77",1
"2001","2001_76",2
"2001","2001_74",2
"2001","2001_73",2
"2001","2001_72",1
"2001","2001_71",0
"2001","2001_70",1
"2001","2001_69",1
"2001","2001_68",1
"2001","2001_65",2
"2001","2001_64",1
"2001","2001_62",1
"2001","2001_61",2
"2001","2001_60",2
"2001","2001_59",1
"2001","2001_58",1
