YEAR,MONTH,NPGO_index
1950,1,-2.1883951
1950,2,-1.4458314
1950,3,-0.96503568
1950,4,-0.85878799
1950,5,-0.63408219
1950,6,-0.58098428
1950,7,-0.74211428
1950,8,-0.54938418
1950,9,-0.60154498
1950,10,0.11943427
1950,11,-0.25707438
1950,12,-0.49336649
1951,1,-0.47853012
1951,2,-0.41382623
1951,3,-0.56954018
1951,4,-0.56114016
1951,5,-1.0714146
1951,6,-1.4352384
1951,7,-1.1039251
1951,8,-1.1748547
1951,9,-1.4195152
1951,10,-1.0693902
1951,11,-1.0120413
1951,12,-1.2247459
1952,1,-1.3350548
1952,2,-1.0909977
1952,3,-0.66951595
1952,4,-0.43371917
1952,5,-0.62650865
1952,6,-0.97265631
1952,7,-1.3356465
1952,8,-0.89742819
1952,9,-0.58261822
1952,10,-0.25781197
1952,11,-0.31621332
1952,12,0.84508038
1953,1,0.94395233
1953,2,0.74797162
1953,3,1.2173325
1953,4,1.2502004
1953,5,1.2707073
1953,6,1.056728
1953,7,1.0407542
1953,8,0.6189014
1953,9,0.29073101
1953,10,1.0815173
1953,11,2.0496203
1953,12,1.418955
1954,1,1.0939573
1954,2,1.156514
1954,3,0.07937343
1954,4,-0.37253308
1954,5,-0.16404023
1954,6,0.17838068
1954,7,-0.035203404
1954,8,-0.13153747
1954,9,-0.26280328
1954,10,0.18381241
1954,11,0.35474005
1954,12,0.40412547
1955,1,0.32620733
1955,2,-0.24927549
1955,3,-0.2159785
1955,4,0.0407132
1955,5,0.26141044
1955,6,-0.015894133
1955,7,-0.088022544
1955,8,0.2745267
1955,9,-0.11022702
1955,10,-0.52419361
1955,11,-0.080028769
1955,12,-0.5180143
1956,1,0.1202669
1956,2,-0.13795981
1956,3,0.022979146
1956,4,-0.038234934
1956,5,0.14195733
1956,6,0.47106723
1956,7,0.4639145
1956,8,0.53975909
1956,9,0.30064613
1956,10,-0.051508982
1956,11,-0.22625107
1956,12,-0.76721175
1957,1,-1.2715967
1957,2,-1.9587271
1957,3,-1.3393664
1957,4,-1.2553542
1957,5,-1.0382093
1957,6,-1.1681711
1957,7,-0.75587754
1957,8,-0.90544124
1957,9,-0.9222347
1957,10,-1.0286289
1957,11,-1.407435
1957,12,-0.71664127
1958,1,0.11660279
1958,2,0.14663043
1958,3,-1.1516998
1958,4,-0.71935478
1958,5,-0.85098363
1958,6,-0.72342443
1958,7,-0.86964646
1958,8,-0.6288164
1958,9,-0.20443409
