Year ,Date,Time,Recorder,Measurer,Bander ,Other Field Crew ,Box_ID,Adult_in_Box,Nest_Status,Gull_Nest_Within_1m,Number_Eggs,Number_Live_Chicks,Number_Dead_Chicks,Egg_Shells,Egg1_New_Prev,Egg1_Weight,Egg1_Width,Egg1_Length,Egg2_New_Prev,Egg2_Weight,Egg2_Width,Egg2_Length,Chick1_Left_Wing_Chord,Chick1_Left_Tarsus,Chick1_Bill_Length,Chick1_Bill_Depth,Chick1_Weight,Chick2_Left_Wing_Chord,Chick2_Left_Tarsus,Chick2_Bill_Length,Chick2_Bill_Depth,Chick2_Weight,Notes,Nest_Box_Photo
2024,5/30/2024,NA,Jessie Beck,,,,KP_01,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,6/6/2024,12:15,Sarah Converse ,,,,KP_01,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,6/13/2024,13:08,Alex Coenen,,,,KP_01,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,Debris from erosion near entrance of nest box.,
2024,6/18/2024,15:00,Sarah Converse ,,,,KP_01,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,6/25/2024,15:31,Amelia DuVall,Alex Coenen,,,KP_01,No,Live Eggs in Box ,No,1,0,0,0,New,53,38.6,60.5,,,,,,,,,,,,,,,"egg warm, chalky",
2024,7/2/2024,13:57,Alex Coenen,Eric Wagner,,Sarah Converse ,KP_01,No,Live Eggs in Box ,No,1,0,0,0,Prev,53,,,,,,,,,,,,,,,,,,
2024,7/9/2024,15:25,Alex Coenen,Sarah Converse ,,Eric Wagner,KP_01,No,Live Eggs in Box ,No,1,0,0,0,Prev,48,,,,,,,,,,,,,,,,,,
2024,7/16/2024,13:45,Sarah Converse ,Alex Coenen,,,KP_01,No,Live Eggs in Box ,No,1,0,0,0,Prev,52,,,,,,,,,,,,,,,,,,
2024,7/23/2024,14:05,Eve Hallock,Eve Hallock,,,KP_01,No,Live Eggs in Box ,No,1,0,0,0,Prev,50,,,,,,,,,,,,,,,,,,
2024,7/31/2024,13:06,Alex Coenen,Eric Wagner,,,KP_01,No,Live Eggs in Box ,No,1,0,0,0,Prev,52,,,,,,,,,,,,,,,,,eggs slightly cool - potentially collect next week,
2024,8/6/2024,13:04,Alex Coenen,Alex Coenen,,Timothy Chen,KP_01,No,Live Eggs in Box ,No,1,0,0,0,Prev,47,,,,,,,,,,,,,,,,,,
2024,8/15/2024,12:19,Alex Coenen,,,Eve Hallock,KP_01,No,Dead eggs in box,No,1,0,0,0,,,,,,,,,,,,,,,,,,,"collected - 7 weeks in box, cold",
2024,8/20/2024,10:44,Eric Wagner,,,Alex Coenen,KP_01,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,8/27/2024,10:58,Alex Coenen,,,Matt Farr,KP_01,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/3/2024,10:45,Sarah Converse,,,,KP_01,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/10/2024,NA,Alex Coenen,,,Sarah Converse,KP_01,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/17/2024,NA,Alex Coenen,,,Matt Farr,KP_01,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,9/24/2024,NA,Alex Coenen,,,Matt Farr,KP_01,No,Empty,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,5/30/2024,NA,Jessie Beck,,,,KP_02,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,6/6/2024,12:15,Sarah Converse ,,,,KP_02,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,6/13/2024,13:09,Alex Coenen,,,,KP_02,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,6/18/2024,15:00,Sarah Converse ,,,,KP_02,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,6/25/2024,15:38,Amelia DuVall,,,,KP_02,No,Empty - No nest is known to have been initiated,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2024,7/2/2024,14:01,Alex Coenen,Eric Wagner,,Sarah Converse ,KP_02,No,Live Eggs in Box ,No,2,0,0,0,New,55,40.1,61.1,New,54,40,58.7,,,,,,,,,,,,
2024,7/9/2024,15:25,Sarah Converse ,Eric Wagner,Eric Wagner,Alex Coenen,KP_02,Yes,Live Eggs in Box ,No,2,0,0,0,Prev,55,,,Prev,54,,,,,,,,,,,,,,
2024,7/16/2024,13:47,Sarah Converse ,,,,KP_02,Yes,Live Eggs in Box ,No,1,0,0,0,Prev,,,,,,,,,,,,,,,,,,adult in box has tag-did not disturb,
