Year,month,chla
1997,Jan,1.5
1997,Feb,1.51
1997,Mar,1.53
1997,Apr,1.54
1997,May,1.55
1997,June,1.56
1997,Jul,1.57
1997,Aug,1.58
1997,Sept,1.59
1997,Oct,1.97
1997,Nov,2.68
1997,Dec,2.46
1998,Jan,2.25
1998,Feb,1.86
1998,Mar,1.77
1998,Apr,2.08
1998,May,2.08
1998,June,2.47
1998,Jul,2.22
1998,Aug,4.75
1998,Sept,4.04
1998,Oct,1.54
1998,Nov,1.26
1998,Dec,1.55
1999,Jan,1.9
1999,Feb,1.73
1999,Mar,2.14
1999,Apr,3.68
1999,May,2.62
1999,June,3.44
1999,Jul,2.56
1999,Aug,2.78
1999,Sept,2.31
1999,Oct,2.5
1999,Nov,1.46
1999,Dec,1.71
2000,Jan,2
2000,Feb,1.85
2000,Mar,1.88
2000,Apr,2.28
2000,May,1.87
2000,June,3.75
2000,Jul,3.02
2000,Aug,4.94
2000,Sept,2.07
2000,Oct,1.94
2000,Nov,1.69
2000,Dec,1.82
2001,Jan,1.95
2001,Feb,1.7
2001,Mar,1.73
2001,Apr,1.82
2001,May,4.47
2001,June,2.12
2001,Jul,3.23
2001,Aug,2.06
2001,Sept,3.31
2001,Oct,2.32
2001,Nov,1.72
2001,Dec,1.8
2002,Jan,1.89
2002,Feb,1.92
2002,Mar,1.83
2002,Apr,1.88
2002,May,3.5
2002,June,2.76
2002,Jul,2.49
2002,Aug,2
2002,Sept,1.87
2002,Oct,2.19
2002,Nov,1.81
2002,Dec,1.75
2003,Jan,1.69
2003,Feb,1.95
2003,Mar,1.79
2003,Apr,1.78
2003,May,1.75
2003,June,5.88
2003,Jul,5.47
2003,Aug,2.93
2003,Sept,2.3
2003,Oct,3.23
2003,Nov,2.26
2003,Dec,2.06
2004,Jan,1.88
2004,Feb,1.94
2004,Mar,1.91
2004,Apr,3.17
2004,May,2.26
2004,June,3.36
2004,Jul,3.41
2004,Aug,4.45
2004,Sept,1.66
2004,Oct,1.65
2004,Nov,2.02
2004,Dec,2.1
2005,Jan,2.19
2005,Feb,2.29
2005,Mar,1.9
2005,Apr,2.58
2005,May,2.02
2005,June,2.2
2005,Jul,2.88
2005,Aug,2.94
2005,Sept,1.78
2005,Oct,1.21
2005,Nov,1.52
2005,Dec,1.69
2006,Jan,1.88
2006,Feb,2.27
2006,Mar,1.64
2006,Apr,1.9
2006,May,5.16
2006,June,3.67
2006,Jul,2.89
2006,Aug,3.3
2006,Sept,3.55
2006,Oct,1.87
2006,Nov,1.98
2006,Dec,2.06
2007,Jan,2.16
2007,Feb,1.7
2007,Mar,1.61
2007,Apr,1.85
2007,May,3.16
2007,June,4.86
2007,Jul,3.08
2007,Aug,2.66
2007,Sept,1.84
2007,Oct,1.59
2007,Nov,3.25
2007,Dec,2.81
2008,Jan,2.44
2008,Feb,2.11
2008,Mar,1.83
2008,Apr,1.59
2008,May,2.81
2008,June,2.11
2008,Jul,1.84
2008,Aug,1.6
2008,Sept,7.68
2008,Oct,2.58
2008,Nov,2.86
2008,Dec,3.17
2009,Jan,3.5
2009,Feb,2.91
2009,Mar,1.96
2009,Apr,4.04
2009,May,3.3
2009,June,2.69
2009,Jul,2.63
2009,Aug,2.15
2009,Sept,1.9
2009,Oct,1.68
2009,Nov,1.85
2009,Dec,2.05
2010,Jan,2.26
2010,Feb,2.49
2010,Mar,2.18
2010,Apr,1.9
2010,May,3.71
2010,June,2.14
2010,Jul,3.25
2010,Aug,2.94
2010,Sept,2.65
2010,Oct,2.59
2010,Nov,1.94
2010,Dec,1.45
2011,Jan,1.08
2011,Feb,2.9
2011,Mar,2
2011,Apr,2.66
2011,May,4.51
2011,June,4.12
